time,lat,lon
1711972892,-32.770402549766,-65.568676663965
1711972901,-32.375604870939,-65.100633359975
1711972910,-31.978763458111,-64.636955274417
1711972919,-31.579923655691,-64.177558182831
1711972928,-31.17913164789,-63.722360519273
1711972937,-30.776432717129,-63.271281308777
1711972946,-30.371869450131,-62.824238208894
1711972955,-29.965488999188,-62.381155513022
1711972964,-29.557332249457,-61.94195218486
1711972973,-29.147441063767,-61.506549891315
1711972982,-28.735854653276,-61.074869092272
1711972991,-28.322616963419,-60.646836759002
1711973000,-27.907765652606,-60.222374809731
1711973009,-27.491339462985,-59.801407856194
1711973018,-27.073376402534,-59.383861274709
1711973027,-26.653911884714,-58.969659369002
1711973036,-26.232986253706,-58.558732766827
1711973045,-25.810633551017,-58.151007314139
1711973054,-25.386889027069,-57.746411497894
1711973063,-24.96178728669,-57.344874587191
1711973072,-24.535360397008,-56.946324856982
1711973081,-24.107645535317,-56.550696698692
1711973090,-23.678673567842,-56.157919927005
1711973099,-23.248476685435,-55.767926914521
1711973108,-22.817084585262,-55.380649072207
1711973117,-22.384532205882,-54.996023755278
1711973126,-21.950848171843,-54.613983868225
1711973135,-21.516062517721,-54.234464792955
1711973144,-21.080204777388,-53.857402642057
1711973153,-20.643302043454,-53.482732579009
1711973162,-20.205386798921,-53.11039549624
1711973171,-19.766485212718,-52.740327954768
1711973180,-19.326624961647,-52.372468882258
1711973189,-18.885833293416,-52.006757880421
1711973198,-18.444135063679,-51.643133591224
1711973207,-18.001560651582,-51.281540176362
1711973216,-17.558134125431,-50.921917550902
1711973225,-17.113881149786,-50.56420788047
1711973234,-16.66882503424,-50.208352350145
1711973243,-16.222994707588,-49.854297504797
1711973252,-15.776412792529,-49.501985689985
1711973261,-15.329103572357,-49.151361408186
1711973270,-14.881091014902,-48.802369708776
1711973279,-14.432396776756,-48.454954623131
1711973288,-13.983048240897,-48.109065354347
1711973297,-13.53306649277,-47.764646943686
1711973306,-13.08247435155,-47.42164647393
1711973315,-12.631294376578,-47.080011497083
1711973324,-12.179546857221,-46.739688500055
1711973333,-11.727257903654,-46.400628968267
1711973342,-11.274447340164,-46.062780241931
1711973351,-10.82113679064,-45.726091591075
1711973360,-10.367345640622,-45.390511177528
1711973369,-9.913099163605,-45.055992034488
1711973378,-9.4584163589157,-44.722483049859
1711973387,-9.0033180735485,-44.389934955497
1711973396,-8.547824983961,-44.058298808526
1711973405,-8.0919555665956,-43.727524498433
1711973414,-7.6357342602185,-43.39756664177
1711973423,-7.1791792474401,-43.068375694391
1711973432,-6.7223106135739,-42.739903853645
1711973441,-6.2651483183533,-42.412103561769
1711973450,-5.8077101591314,-42.084926028564
1711973459,-5.3500199603168,-41.758327062907
1711973468,-4.8920953123538,-41.432258281488
1711973477,-4.4339557586458,-41.106672945719
1711973486,-3.975620759616,-40.781524481781
1711973495,-3.517107650917,-40.456765013672
1711973504,-3.0584398514416,-40.132351152589
1711973513,-2.5996345729417,-39.808235270583
1711973522,-2.1407110264677,-39.48437129325
1711973531,-1.6816863289362,-39.160711784699
1711973540,-1.2225837196383,-38.837213718137
1711973549,-0.7634202562126,-38.513829779053
1711973558,-0.30421503030944,-38.190514137446
1711973567,0.15501287617339,-37.867220984618
1711973576,0.6142464359871,-37.54390307179
1711973585,1.0734624567758,-37.220517475617
1711973594,1.5326438907532,-36.897016910536
1711973603,1.991771614891,-36.573355493842
1711973612,2.4508264758067,-36.249487284498
1711973621,2.9097913331931,-35.925364817625
1711973630,3.3686428452207,-35.60094488536
1711973639,3.8273637709305,-35.276179827593
1711973648,4.2859347545147,-34.951023310329
1711973657,4.7443384180628,-34.62542740479
1711973666,5.202551157038,-34.299348395376
1711973675,5.6605554274182,-33.972738030809
1711973684,6.1183315395794,-33.645549327945
1711973693,6.5758596994449,-33.317735101184
1711973702,7.0331220434345,-32.989246476316
1711973711,7.490094454564,-32.660038751178
1711973720,7.9467588185586,-32.330062569099
1711973729,8.4030948372823,-31.999269773291
1711973738,8.8590820645579,-31.667611923729
1711973747,9.3147019330617,-31.335038792129
1711973756,9.7699295997371,-31.00150429661
1711973765,10.224746157313,-30.666957565536
1711973774,10.679130476071,-30.33134886377
1711973783,11.133063260126,-29.994626583991
1711973792,11.586518922865,-29.65674325643
1711973801,12.039477752659,-29.317646501422
1711973810,12.491917783859,-28.977285029001
1711973819,12.943816816933,-28.635607119987
1711973828,13.395154424521,-28.292559073157
1711973837,13.845903872975,-27.948091329374
1711973846,14.296044217652,-27.602149254657
1711973855,14.745552218948,-27.254679251966
1711973864,15.1944043502,-26.905627214866
1711973873,15.642578788426,-26.554936940276
1711973882,16.090047391986,-26.202556390877
1711973891,16.536787710067,-25.848428273707
1711973900,16.98277495375,-25.49249628797
1711973909,17.427985977457,-25.134701942107
1711973918,17.872391309184,-24.774990944886
1711973927,18.315967079627,-24.413303594222
1711973936,18.758687044881,-24.049581151863
1711973945,19.200524565476,-23.683764233867
1711973954,19.641454562199,-23.3157911468
1711973963,20.081445622268,-22.945604463565
1711973972,20.520471812436,-22.573141140854
1711973981,20.958504776404,-22.198339076279
1711973990,21.395515693763,-21.821135455994
1711973999,21.831477212012,-21.441465040069
